rating,date,review
3.0,2023-01-06,"Il serait difficile de mettre moins de 3 étoiles tant la claque visuelle est violente. La 3D stéréoscopique nous propulse en plein cœur de Pandora et nous offre une immersion jamais vue auparavant, il faut savoir saluer l’effort et la performance. On retrouve ce qui avait fait le succès du premier une planète aux décors féeriques aux couleurs chatoyantes et phosphorescentes à la faune et flore étonnantes et qui offre un émerveillement de chaque instant. Cependant le papier cadeaux ne fait pas tout. Je regrette une scénario minimaliste et bourré d’incohérence, des personnages fades, lisses sans grande complexité ni sans grand intérêt. On peine à s’attacher aux personnages et à trouver un quelconque intérêt au scénario tant les enjeux sont faibles. spoiler: l’entièreté du film suit l’objectif de vengeance absurde du méchant du premier. Méchant qui est mort et qui a placé ses souvenirs et sa rancoeur dans une sorte de disquette qu’on intègre à un autre militaire. Et donc nous voyons tout un régiment qui déploie une mission interstellaire mobilisant des ressources de pointe avec pour unique objectif tuer Jake Sully qui depuis 15 ans est devenu chef de village, passe son temps à pêcher et cueillir des baies et à faire des enfants avec sa femme tout ça paisiblement et sans être une menace pour la race humaine. Il paraît alors complètement idiot et irréaliste de voir tant de moyens déployés pour venir simplement à bout d’un avatar. Le soucis c’est que James Cameron illustre avec son film son délire mégalomane de vouloir faire le film le plus long et le plus incroyable visuellement pour qui le scénario devient anecdotique comme pour se targuer d’enfermer 3h des gens dans une pièces pour qu’il nous degueule toute sa panoplie d’effet spéciaux à couper le souffle sans l’effort de proposer un scénario qui tienne la route. J’ai de la peine à voir l’intérêt des prochains films de la franchise si ce n’est le plaisir de voir ce qu’on fait de meilleur en matière d’effets visuels. Ce sera donc un one shot sur grand écran dans des conditions optimales mais je ne m’infligerais jamais le revisionnage de ce film et sûrement pas sur une TV. A voir donc pour l’expérience visuelle mais sans attente côté histoire."
3.5,2022-12-18,"impossible de mettre une mauvaise note car visuellement c'est simplement magnifique. Les effets sous l'eau sont somptueux. Parcontre, les effets spéciaux ne fond pas un film... C'est avant tout l'histoire, et là... Il y a plus personne... Plus de 3h avec des scènes qui n'en finissent plus, à vous dégoûter de la beauté des images. Alors oui, c'est un moment de cinéma mais niveau histoire, ça ne vole pas très haut..."
4.5,2022-12-15,"Enfin de retour sur Pandora treize ans après l'avènement mondial des Na'vis dans les salles de cinéma terriennes ! Pourtant, à l'époque, je ne faisais pas partie des spectateurs restés les plus extatiques devant le premier opus, j'avait goûté et apprécié l'indéniable splendeur visuelle de l'univers concocté par l'indétrônable James Cameron, clairement au-dessus du tout-venant blockbusterien, mais le format 3D (même native) vendu alors comme révolutionnaire ou certains archétypes utilisés pour nous embarquer dans le récit de cette lutte des Na'vis contre le pire de l'Homme m'avaient moins convaincu. Le redécouvrir plus tard -et encore très récemment- en 2D avait néanmoins rendu l'exploration de Pandora bien plus agréable à mes yeux, et même réussit, en compagnie des magnifiques bandes-annonces de cette suite, à me faire attendre avec un brin de curiosité ce que James Cameron pouvait apporter comme extension à ce monde. Et, aujourd'hui, seules à peine quelques minutes passées devant un grand écran proposant cette ""Voie de l'Eau"" en 3D HFR ont été nécessaires pour transformer cette curiosité en sidération la plus totale devant un spectacle visuel grandiose, permanent dans son inventivité à mettre toujours plus en valeur son imaginaire sans limite, atteignant une forme de perfection esthétique lors d'une séquence magistrale qu'une autre se permet ensuite de dépasser avec une aisance désarmante pour un nouveau sommet. L'alliance d'une 3D aussi subjuguante qu'immersive au possible, de ce débit augmenté d'images par seconde entraînant une fluidité des mouvements sans pareille notamment dans les phases d'action (cela demande un petit temps d'adaptation à l'oeil, reconnaissons-le), de tous les moyens technologiques dont Cameron dispose aujourd'hui pour perfectionner de façon hallucinante son univers de 2009 ou encore de son talent de metteur en scène ne reculant jamais devant l'impossible emmène ""Avatar: La Voie de l'Eau"" vers des sommets encore jamais atteints, catapultant la concurrence actuelle de dits mastodontes hollywoodiens au rang d'insectes inoffensifs ! Alors que les retrouvailles dans les environnements connus de Pandora auraient déjà suffi en soi à nous laisser bouche bée, la découverte de leur versant aquatique nous fait tout bonnement décrocher la mâchoire par sa richesse ou la pureté encore plus sublime à l'image de la symbiose entre sa faune et ses Na'vis locaux, sans parler de toute la palette de ses contrastes qui épouse la dramaturgie des péripéties traversées. La fascination pour Pandora, les créatures qui s'y mouvent et leurs ennemis parvient à rester constante pendant 3h12, nous entraînant dans une expérience cinématographique hors-norme que James Cameron semble être décidément le seul capable de proposer à l'heure actuelle. Au-delà de ce choc visuel absolument fou qui emporte quasiment tout sur son passage (et donc mon adhésion avec), il restait aussi à savoir si ""Avatar: La Voie de L'eau"" allait trouver la matière nécessaire pour accompagner le spectacle. De ce point de vue, il s'inscrit dans la veine de son prédécesseur, son déroulement épouse une forme assez similaire (l'introduction sur les origines de cet univers devient ici le résumé de la décennie écoulée, la découverte de la tribu Na'vi originelle s'apparente à celle de leurs cousins aquatiques, pour ne pas en dire plus) et s'inscrit dans un schéma cyclique d'oppositions amenant une forme quelque part voulue de répétition mais qui, dans ce cas précis, se retrouve désormais un peu plus nuancé par des dynamiques familiales parfois contrariées et des motivations de fait plus fluctuantes chez les meneurs de chaque camp. Certes, ce qu'engendre cette notion de famille ainsi mise en exergue par le film ne fait pas partie des aspects les plus inédits de ce deuxième ""Avatar"" mais ils sont incontestablement ce qui lui permettent de se différencier de son modèle et de lui apporter une donne émotionnelle plus intense par l'intermédiaire de ses personnages, que ce soit via les plus anciens (l'évolution future de l'ennemi principal promet) ou la nouvelle génération. D'ailleurs, du côté de ses petits Na'vis, si l'on a un peu peur au début de caractères adolescents agaçants (les deux frères en particulier) qui pourraient handicaper le long-métrage, leur traitement bien pensé sur la durée permet d'asseoir à chacun une véritable personnalité tout en leur permettant de véhiculer de nouvelles thématiques propres à leurs existences mouvementées au sein du message environnemental toujours aussi indissociable de l'esprit de ""Avatar"". En ce sens, on ne pourra que célébrer Kiri, la plus formidable et attachante de ces enfants d'où émanera certains des passages les plus poétiques de cet ""Avatar: la Voie de L'eau"". C'est donc les yeux véritablement traversées d'étoiles à la beauté incessante que l'on sort de cette nouvelle visite sur Pandora, encore sous le coup de ce nombre incalculable de scènes qui nous ont mis à terre plus de trois heures durant. Le spectateur réservé de 2009 n'est plus, il a laissé place à celui de 2022, définitivement emporté dans les plans absolument superbes dessinés par cette ""Voie de l'Eau"" et attendant désormais avec la plus vive impatience le troisième film qui l'y ramènera, avec l'espoir fou qu'il en repousse à nouveau les limites. James Cameron en est capable, c'est certain."
1.0,2022-12-27,"Waouh ce film m'a lessivée, des effets spéciaux en veux-tu en voilà pour servir un scénario insipide et truffé de scènes ""oh c'est trop beau la nature, je te vois !"", une sorte de baleine très moche qui se met à parler de ses problèmes existentiels, des personnages qui tombent du ciel et qui disparaissent, des affrontements qui tournent en boucle et puis tout ce bleu.... à se demander si j'avais choisi les bonnes lunettes... Bref ""La Voie de L'eau"" aurait dû s'appeler ""Inondation"" et sa fin fût pour moi une délivrance."
2.5,2022-12-17,"Qualité constante chez Cameron, celle de dépasser le commun, de relever des défis de cinéma, le cinéma envisagé comme spectacle. Grand spectacle. Sa passion pour la technique (sa passion pour les mécas notamment qui fait ici encore merveille) a toujours été moteur pour conduire des projets hors norme et donc réjouissant. Très bon faiseur d'images, il est en outre un de ceux qui savent filmer une action, la mettre en valeur, la rendre lisible. C'est un homme de cinéma indiscutablement. En revanche, Cameron n'est assurément pas un auteur. Pour ce qui est du contenu dramatique, l'homme touchait régulièrement à ses limites. Hors l'exposition, inutilement longue, c'est l'ensemble du récit ici qui embarrasse. La dramaturgie comme la caractérisation de personnages semblent sortie d'un Disney d'un autre âge. Si l'on met en vis à vis par exemple la richesse et l'ampleur d'un Mononoke, ce film semble avoir été écrit par un adolescent non arrivé à maturité. Le film souffre en outre, malgré une technique qui reste renversante (sans faire sentir non plus un gap significatif avec l'opus précédent qui a tout de même 13 ans, hors sur le traitement de l'eau qui est à tomber), d'un manque de scènes remarquables (le finale titanesque restant le plus beau moment de cinéma de l'opus, son presque seul malheureusement). Si le film navigue au dessus du blockbuster US commun (communément médiocre), au générique de fin on se dit tout de même : 13 ans pour en arriver là. Sinon le HFR fait son effet. La 3D même si elle ne surprend plus trouve là toujours un de ses plus beaux représentants."
0.5,2023-01-07,"Quel enfer ! Impossible de spoiler l'intrigue puisqu'elle est annoncée dès l'entrée du film et tient en une courte ligne : le méchant colonel Miles Quaritch veut tuer le gentil Jake Sully. Et c'est parti pour 3h37 de vengeance. Il faut dès lors se farcir 2 longues heures de bouillie animiste 2.0 nous répétant que l'homme, les animaux et les plantes sont en symbiose avec mère nature et qu'il faut vivre en paix... suivi par une heure trente de combats entre les très gentils et les très méchants (parce que la guerre c'est mal sauf quand c'est pour tuer des méchants, là ça passe). Et c'est du vrai combat, mazette, avec des centaines de plans de personnages explosés, noyés, brûlés, broyés, empalés ou découpés en rondelles... Bref, un bel étalage de cette fameuse violence dont on a tant répété qu'elle nuisait à la société. C'est nunuche, manichéen à souhait, mais ça, on s'en doutait. C'est là que les fans mécontents rétorquent : ""Et la prouesse technique, bordel ?"". Certes. Oui, c'est joli. Mais ce film pose une question de fond : est-ce encore du cinéma ou juste un jeu vidéo de combat sur grand écran ? Le cinéma doit-il se réduire à des idioties numériques en 3D ? Déconseillé aux post-ados et à ceux qui espèrent mieux du septième art. Décidément, depuis Titanic, James Cameron multiplie les naufrages."
1.0,2022-12-17,"Et dire que la plateforme IMDB note ce film 8.2/10 !!! Misère, mais où sommes nous ? D'accord, il y a un boulot incroyable sur les images de synthèse. Mais à part ça, quoi d'autre ? Rien, nada, le vide ! Un scénario bas de gamme ultra prévisible avec le vilain méchant, la famille de gentils et un ado qui ne sait pas où se trouve son camp. Des dialogues oscillant entre la mièvrerie et un discours patriarcal US des années 1950. Et puis, la guerre, toujours la guerre. Ensuite, la nature Hollywoodienne fantasmée au service de l'homme. Ce réalisateur américain n'a aucun gout, ou plutôt si ; un gout de chiotte. En fait, ce film est un pur produit américain du soft power. Que dire de la durée du film ? 3h12 !!! Quand on pense que c'est la fin... et bien non, vas-y que je t'en remets une couche. Cette poésie en carton, cette vision paternaliste, cette absence totale de subtilité, ces dialogues dégoulinants de mièvrerie, plairont certainement à beaucoup de monde. Voilà le vrai drame !"
3.5,2022-12-18,"James Cameron remet le couvert 13 ans après. Jake Sully en a marre de la forêt, et décide donc, après avoir causé spoiler: un incident diplomatique à la frontière , de partir voir la Mer. Enfin, pas la Bretagne! Plutôt le Pacifique, les îles et leurs eaux turquoises, se remettre au surf et avoir la cool attitude. Lui qui est devenu un homme de paix et d'amour dans un lieu idyllique, après avoir enterré la hache de guerre, pensait passer le reste de sa vie à voir ses enfants grandir dans la tranquillité, pendant qu'il pêchait à la ligne les après-midi, en sirotant un cocktail Planteur des îles. Mais patatras, ces maudits étrangers venus du ciel veulent coloniser les archipels, faire des colliers à vendre aux touristes avec de vraies dents de dauphins, et tuer toutes les baleines blanches pour en extraire du spermaceti (blanc de baleine) afin de produire des statues façon Renaissance et les revendre aux enchères en les faisant passer pour des créations de De Vinci (mais ça, c'est une autre histoire). Le film ayant besoin d'un antagoniste pour symboliser la menace des humains, le méchant du précédent film est donc rappelé ex nihilo in extenso, histoire de ne pas avoir à développer un nouveau personnage du camp des méchants (flemme des scénaristes, tout ça, tout ça, c'est pas comme s'ils avaient eut 13 ans pour bosser l'histoire). James Cameron ne peut s'empêcher de magnifier la beauté de la nature, et idéaliser à l'extrême la vie des peuples chasseurs-cueilleurs. Le film est également un énorme pamphlet de 3h15 contre la chasse à la Baleine. Pour caractériser les mauvaises actions des méchants, quand ils arrivent sur la première île, Cameron qui suppose que personne ne connaît le film Platoon (1987) d'Oliver Stone, nous refait la scène de l'interrogatoire des villageois avec toute la subtilité possible et imaginable. Les Marines : « On a trouvé un sac de 15 kilos de riz, de quoi nourrir tout un bataillon Vietcong! Où sont les Vietcongs? Viá»t cá»ng á» Äâu? Viá»t cá»ng á» Äâu? Lên tiáº¿ng Äi, tháº±ng chó Äáº»! ». Ils décident de tuer le cochon du village pour montrer qu'ils ne plaisantent pas! Bon, Cameron évitera l'exécution d'innocents et le viol de villageois, parce qu'on est dans un film tous publics (et les soldats n'étaient même pas Youtubeurs). Donc, vous l'avez compris, le scénario pêche par moment dans la facilité, le film reprenant tous les clichés des grands blockbusters d'action : quand il faut affronter l'ennemi final, spoiler: toute l'armée des peuples autochtones a disparu en arrière-plan (ils dont dû rentrer chez eux pour ne pas louper la Finale de foot). Le message du film n'en reste pas moins à la fois beau, écologique, respectueux de la nature, des grands équilibres de notre écosystème, et cruellement d'actualité. La partie visuelle, images de synthèses, est particulièrement bluffante. On sent que les animateurs 3D se sont surpassés pour que les mammifères marins, baleines et toute la flore, ainsi que les Na'vis plongeant dans l'eau soient le plus réaliste possible, et avec succès. Même si l'histoire enfile des clichés sur la famille, le respect de la nature, et que le film emprunte énormément à beaucoup d'autres réalisateurs, la seule partie visuelle suffit à rentabiliser ses 3h15 de bobines et l'effort d'aller le voir en salle. On ne verra pas un film de ce niveau tous les jours."
1.5,2023-01-20,"On nous a promit que les leçons du 1er film ont été tirées, que c’était beaucoup mieux, que de toutes façons il y a toute une saga de prévu car le réalisateur est trop bon (comprendre bankable) et que avec une dizaine d’années d’écriture on était forcément devant un chef d’œuvre. Alors oui ça suffit pour faire revenir les badauds trop contents de payer 15 boules et les sortir de leur écran, mais est-ce qu’on ne serait pas sur une suite par hasard ? Ah ben si, et le syndrome se vérifie encore. Ok on a toujours de belles images, mais c’était déjà ainsi dans le 1, et le scénario est toujours indigent, là aussi comme son prédécesseur, sauf que ce dernier suivait au moins une histoire déjà connue (Pocahontas) alors que là on est dans le grand n’importe quoi. Le problème c’est que ça parle d’écologie et de tolérance, puis c’est Cameron, donc la moindre critique vous transforme en looser patenté incontestable (salut c’est moi). Bizarrement les clichés, le hasard qui arrange bien le scénario, le manque d’inspiration (c’est qui le méchant qui pouvait pas revenir ?), les incohérences vis-à-vis du 1er film (la femme de Jake c’est quoi son rang ?) quand ce n’est pas en contradiction à l’intérieur même de cette voie d’eau etc sont légions, mais personne ne semble les voir. Qu’importe, les CGI ont repoussé les limites, Sigourney Weaver (68 ans) joue une ado, Kate Winslet est une recordwoman d’apnée, les recettes sont au rendez-vous donc c’est forcément top, mais est-on emmené dans une vraie grande et belle histoire ? Bref on sent que c’est soigné et trop long, mais cette durée permet d’en mettre davantage plein les mirettes donc la masse ressort contente et émerveillée, quant au nombre d’entrées elles valideront les opus suivants, merci à tous."
0.5,2023-01-12,"Tout le monde le sait : Cameron est un immense cinéaste du spectacle, parmi les plus vibrants, inventifs et sauvages. Il faut être pisse-froid pour ne pas être intellectuellement et musculairement stimulé à la vue du génial « True Lies » dont la cocasserie n’a d’égale que son vertigineux jeu de rôles et de genres. Cameron, c’est le cinéma total : la force du mélodrame (« Titanic », grand film romanesque sur le déclassement), du politique (« Aliens » et sa fureur féminine), de l’écologie contre une humanité en déroute (l’extraordinaire « Abyss ») ou encore le fantasme de l’ultime action movie (« Terminator 2 »). Au-delà de sa manière d’embrasser des mondes et des affects à travers une écriture claire comme de l’eau de roche, et au service d’une mise en scène sans cesse inspirée, Cameron a su être plus de trente ans durant au sommet d’Hollywood, avec un génie de l’anticipation à la fois humain et technologique. Il suffit de revoir tous ses films aujourd’hui pour constater à quel point l’inventivité, la rythmique, la clarté demeurent aussi cristallines qu’à ses premiers jours - et certaines séquences de demeurer parmi les plus belles réalisations du cinéma américain contemporain. Mettre du feu dans l’oeil, faire palpiter les tempes aux portes de l’expérience moderne du temps de l’action : programme cinégénique absolu, renversant, dont seul John Woo a pu être le rival crédible. Après quelques expérimentations aquatiques plus ou moins heureuses au début des années 2000, notamment sous la forme du documentaire, Cameron était revenu en 2009 avec « Avatar », projet pharaonique et new age, étonnamment binaire pour un cinéaste comme lui, empreint d’une naïveté sectariste et une dimension faussement ethnologique qui soulevait quelques questions d’ordre morale. Le tout noyé dans une sorte de manifeste du cinéma de demain, cinéma où plus rien ne serait réel, croisement du jeu vidéo et de l’animation. Y demeuraient tout de même une histoire d’amour sirupeuse et régressive à laquelle on pouvait facilement s’abandonner (sorte de Pocahantas baba cool), et une vague dimension réflexive sur l’amélioriation du Moi au tournant des manoeuvres impérialistiques de l’Amérique et de l’Homme. Mais Cameron disait déjà « Aimez-vous les uns les autres » dans un geste christique d’assez mauvais augure pour la suite - d’autant qu’elle allait durer quatre films.  2022 : crise après crise, virus après guerre, inflation après réchauffement, déferle le second opus d’ « Avatar », qui cette fois abandonne la forêt pour la mer, dans une sorte de Pokemon Evolution croisé avec des Schtroumpfs hippies sous LSD. Peu de le dire : « Avatar 2 » est l’un des films les plus idiots et laids qui puisse se voir depuis longtemps - très, très longtemps. Que les Etats-Unis soient devenus gâteux dans la fabrique du Blockbuster n’est pas une nouvelle, certes, mais quand elle est vendue comme un évènement philosophique de la sorte, bon sang de bonsoir, c’est que le vaisseau du monde s’est pris les pieds dans le tapis… de lianes. Ce sucre d’orge de 3h10 n’a plus rien de ce qui faisait encore se tenir debout le début du projet : à savoir le sur-moi et l’amour. Ici, que tchi, les vilains sont très vilains et les gentils très gentils : plus que jamais, bienvenue en 2022. Le monde est beau et plein de couleurs mais malheureusement, de méchants soldats prisent du jus de baleine pour pouvoir cesser le vieillissement humain! Hou! Les vilains! C’est comme chez nous mais avec des personnages tout bleus ! Alors dans le monde de Cameron, on va revenir aux sources : on va se reconnecter aux arbres et au chants des oiseaux, on va pêcher le poisson à la lance, on va être un chef de guerre (oeil pour oeil, dent pour dent), on va éduquer ses fils à papa à être de bons soldats, et les femmes vont rester au poste de cuisine, enceintes ou, au mieux, oracles (l’intuition maternelle, natürlich). La gamine du film, sorte de petite vierge diaphane qui fait de la méditation aquatique et psalmodie en voix off « l’eau connecte tout : la vie et la mort, l’ombre et la lumière », a les yeux en amande et un pouvoir de séduction immédiat. Mais les méchants arrivent avec de la mitraille lourde, et c’est l’éternel recommencement : on nageait si bien avec les dauphins! Allégorie de l’exil et des migrations, cette supercherie d’une hypocrisie inouïe nous fait la morale au long cours : que c’est beau l’évolution, le métavers et les croissants de lune quand on arrête de faire la guerre ! Que c’est beau le chant des divinités! Que c’est beau d’avoir abandonné le monde réel pour le pouvoir de l’avatar et de la matrice ! Est-il possible d’adhérer à pareille bêtise, à un film aussi futuriste et vieux-jeu en même temps, aussi Thunbergien que patriarcal dans son sens le plus abrutissant? Est-il possible d’avoir abandonné la beauté d’un visage réel (la source du cinéma, de la photographie, du portrait, de la peinture!) pour une douteuse analogie ethnique mi-jamaïcaine mi-océanienne faite de capteurs windows? Qu’est-ce que cette tambouille digne d’un mauvais jeu vidéo des années 90? Où sont les licornes? 250 000 000 de dollars pour cette croûte… Insurgez-vous, public du monde entier ! « Avatar 2 » ressemble à un film de missionnaire raciste qui jouerait le jeu du bon côté de l’Histoire pour finir de récupérer jusqu’au dernier centime de son investissement doctrinaire, refourguant au spectateur sa tétine (les lunettes 3D!) pour qu’il se mette à loucher et avoir l’impression « d’y être ». Mais d’y être, où? Hors du monde? Voilà une vraie question de cinéma. Si James Cameron ne croit plus en la force du réel et de l’ambigu, fusse-t-il un simple prétexte pour son imaginaire débridé, alors il n’est déjà plus un cinéaste, mais un animateur de programmes. En sortant de la salle, j’ai croisé le directeur de l’établissement, estomaqué, et je lui ai demandé : - Mais… c’est un film pour les bébés, non? Ou c’est moi? Et lui de me répondre : - Oh vous savez, moi j’ai tenu 50 minutes, je ne saurai vous dire. Prophète, anticipateur, visionnaire, Cameron l’est toujours : il signe avec « Avatar 2 » ce qui pourrait bien être le premier grand film sur la mort cérébrale du cinéma."
