rating,date,review
3.0,2026-07-14,"Visualmente una obra de arte, por lo demás genérica"
3.0,2026-07-14,Payakan is the whale in whalien 52
3.0,2026-07-14,C cool à regarder mais la tête des avatars elle fait trop peur
5.0,2025-04-01,MEU FILME FAVORITO
2.0,2026-07-14,Genuinely slop bro this movie is so hard to watch and it being 3 hours doesnt help either
5.0,2026-07-14,"que filme lindo, mds spider pau no cu odeio ele pqp"
4.0,2026-07-14,Ay ben 1i hiç beğenmemekle beraber 2yi çok beğendim sinemaya gidip izlemiştim ve animasyonu çok hoşuma gitti cıvıl cıvıldı
1.0,2026-07-14,1 star only bc bailey bass hot asf
4.0,2026-07-14,how could you kill him james how could you….
5.0,2026-07-14,"Misma historia, pero es un masterpiece."
4.0,2026-07-14,Un peu moins bien que le premier mais on est quand même content de retrouver les personnages et l'univers
5.0,2026-07-14,Chorei no final. Muito lindo. Muita água que vc sente que ta dentro do filme chega se afogar.
