site,rank,keyword,tfidf_score,document_count
Letterboxd,1,love,0.03381642312206791,19
Letterboxd,2,beautiful,0.02862168873556134,15
Letterboxd,3,neteyam,0.026890754677495306,15
Letterboxd,4,visuals,0.026386421005706283,17
Letterboxd,5,better,0.02099143907060055,10
Letterboxd,6,people,0.019557662721811902,10
Letterboxd,7,best,0.01948882652513408,8
Letterboxd,8,sequel,0.01843008681504303,8
Letterboxd,9,amazing,0.01790280744657653,10
Letterboxd,10,spider,0.01765802327033886,11
Letterboxd,11,sully,0.017521342848432653,10
Letterboxd,12,jake,0.01730455799713171,10
Letterboxd,13,cameron,0.017258767861719652,12
Letterboxd,14,james,0.017043394806201075,10
Letterboxd,15,pretty,0.01645871608495825,6
Metacritic,1,long,0.02866352984947721,93
Metacritic,2,plot,0.026961807995941545,99
Metacritic,3,cameron,0.025922903001111015,101
Metacritic,4,amazing,0.025759381863146635,71
Metacritic,5,characters,0.025464642133038114,104
Metacritic,6,visuals,0.024328234689135034,74
Metacritic,7,beautiful,0.023085321404903054,67
Metacritic,8,james,0.022885131781810446,86
Metacritic,9,experience,0.022065573280961735,64
Metacritic,10,best,0.021310706087098164,56
Metacritic,11,world,0.020830557631698738,77
Metacritic,12,better,0.02026167508686416,59
Metacritic,13,people,0.020039194425516448,62
Metacritic,14,effects,0.019539873324693598,58
Metacritic,15,visual,0.01929836715954778,62
Naver,1,영상미,0.0521951641272032,77
Naver,2,스토리,0.04178404029408426,60
Naver,3,재밌게,0.020620503247315767,12
Naver,4,영화관,0.017224848068375806,18
Naver,5,cg,0.010282733899503273,9
Naver,6,영상미로,0.009835648108900146,6
Naver,7,보세요,0.009639507755106535,9
Naver,8,다시,0.009594858276086944,12
Naver,9,내용은,0.008519024492525158,6
Naver,10,느낌,0.00829508675694493,9
Naver,11,어떻게,0.008088044263639816,7
Naver,12,재미있게,0.007984475583901562,6
Naver,13,아름다운,0.007889227777177227,8
Naver,14,극장에서,0.007771310273742548,11
Naver,15,눈이,0.007622469972329459,9
