site,rating_group,count,ratio
Letterboxd,0-2,5,0.010460251046025104
Letterboxd,3-4,29,0.060669456066945605
Letterboxd,5-6,67,0.1401673640167364
Letterboxd,7-8,176,0.3682008368200837
Letterboxd,9-10,201,0.4205020920502092
Metacritic,0-2,65,0.12333965844402277
Metacritic,3-4,51,0.0967741935483871
Metacritic,5-6,73,0.13851992409867173
Metacritic,7-8,113,0.2144212523719165
Metacritic,9-10,225,0.4269449715370019
Naver,0-2,4,0.008
Naver,3-4,9,0.018
Naver,5-6,35,0.07
Naver,7-8,121,0.242
Naver,9-10,331,0.662
